Name,lon,lat,alt,type,Airfield,Approach
,35.19008578,32.65937172,0,TDZ,,
FETER,35.24527778,32.59027778,1800,FAF,,
RATTR,35.31166667,32.5075,3500,IF,,
GUNDI,35.33916667,32.47277778,4300,IAF,,
GAFAZ,35.2922,32.5622,0,MA,,
